,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
219,688385.SH,20231025,42.29,43.26,41.88,42.85,41.87,0.98,2.3406,29785.11,127304.018
220,688385.SH,20231024,41.69,42.48,41.19,41.87,41.35,0.52,1.2576,29863.39,125029.87
221,688385.SH,20231023,42.2,42.59,40.85,41.35,42.18,-0.83,-1.9678,43962.28,183323.672
222,688385.SH,20231020,43.01,43.5,42.0,42.18,43.28,-1.1,-2.5416,29926.33,127541.884
223,688385.SH,20231019,42.04,44.24,41.8,43.28,42.24,1.04,2.4621,50590.06,219341.77
224,688385.SH,20231018,43.37,43.45,42.0,42.24,43.25,-1.01,-2.3353,26629.7,112991.96
225,688385.SH,20231017,43.1,43.43,42.75,43.25,42.9,0.35,0.8159,27060.33,116775.902
226,688385.SH,20231016,44.0,44.0,42.43,42.9,44.13,-1.23,-2.7872,40527.82,174077.826
227,688385.SH,20231013,45.21,45.34,43.2,44.13,45.18,-1.05,-2.324,48075.35,212254.528
228,688385.SH,20231012,45.74,46.46,45.07,45.18,45.71,-0.53,-1.1595,42867.81,194567.396
229,688385.SH,20231011,47.0,47.45,45.6,45.71,47.08,-1.37,-2.9099,53945.0,250077.401
230,688385.SH,20231010,47.53,47.96,46.8,47.08,47.77,-0.69,-1.4444,28271.51,133708.298
231,688385.SH,20231009,47.66,48.88,47.1,47.77,47.7,0.07,0.1468,32884.05,157824.911
232,688385.SH,20230928,46.35,48.03,46.3,47.7,45.91,1.79,3.8989,44290.82,210370.185
233,688385.SH,20230927,45.86,46.72,45.68,45.91,45.86,0.05,0.109,25822.38,119083.668
234,688385.SH,20230926,46.28,46.6,45.86,45.86,46.28,-0.42,-0.9075,14809.93,68397.918
235,688385.SH,20230925,46.6,46.6,45.81,46.28,46.55,-0.27,-0.58,21754.73,100534.532
236,688385.SH,20230922,45.36,46.99,45.08,46.55,45.37,1.18,2.6008,27537.53,127370.427
237,688385.SH,20230921,45.53,45.79,45.03,45.37,45.63,-0.26,-0.5698,22780.06,103367.544
238,688385.SH,20230920,46.49,46.8,45.3,45.63,46.5,-0.87,-1.871,39144.95,179572.362
239,688385.SH,20230919,48.6,48.6,46.5,46.5,48.05,-1.55,-3.2258,56671.72,267385.719
240,688385.SH,20230918,48.58,49.15,47.74,48.05,48.58,-0.53,-1.091,27506.1,132790.898
241,688385.SH,20230915,49.85,50.18,48.43,48.58,49.49,-0.91,-1.8388,50564.62,249182.779
242,688385.SH,20230914,50.17,50.39,49.1,49.49,50.24,-0.75,-1.4928,19568.42,96781.307
243,688385.SH,20230913,50.8,51.2,49.65,50.24,50.87,-0.63,-1.2385,20296.36,102112.141
244,688385.SH,20230912,52.14,52.31,50.75,50.87,52.28,-1.41,-2.697,23302.7,119642.991
245,688385.SH,20230911,52.02,52.65,51.51,52.28,52.48,-0.2,-0.3811,30148.34,157098.327
246,688385.SH,20230908,50.38,52.8,50.03,52.48,50.72,1.76,3.47,38421.82,198232.684
247,688385.SH,20230907,52.94,53.2,50.71,50.72,52.87,-2.15,-4.0666,32851.25,170171.235
248,688385.SH,20230906,51.98,53.13,51.64,52.87,52.07,0.8,1.5364,37625.87,198029.612
249,688385.SH,20230905,52.02,52.88,51.88,52.07,52.3,-0.23,-0.4398,28345.49,148642.937
250,688385.SH,20230904,52.5,53.13,51.61,52.3,52.63,-0.33,-0.627,36763.67,192061.169
251,688385.SH,20230901,53.0,53.0,52.15,52.63,52.85,-0.22,-0.4163,20176.08,105954.278
252,688385.SH,20230831,54.2,54.2,52.0,52.85,54.07,-1.22,-2.2563,52914.02,279904.073
253,688385.SH,20230830,55.33,56.14,54.0,54.07,54.78,-0.71,-1.2961,45178.0,248359.878
254,688385.SH,20230829,51.99,55.3,51.53,54.78,52.4,2.38,4.542,51817.78,278732.92
255,688385.SH,20230828,53.5,54.45,51.7,52.4,50.96,1.44,2.8257,41154.6,218085.171
256,688385.SH,20230825,50.75,51.5,50.43,50.96,51.07,-0.11,-0.2154,30856.71,157364.37
257,688385.SH,20230824,50.5,51.38,49.21,51.07,49.03,2.04,4.1607,42421.72,215695.406
258,688385.SH,20230823,50.41,50.41,48.91,49.03,50.29,-1.26,-2.5055,19169.33,95008.427
259,688385.SH,20230822,50.51,51.14,48.65,50.29,50.68,-0.39,-0.7695,36891.45,184438.179
260,688385.SH,20230821,51.01,52.09,50.6,50.68,51.5,-0.82,-1.5922,17881.45,91473.139
261,688385.SH,20230818,52.1,52.89,51.5,51.5,51.31,0.19,0.3703,27795.1,144822.274
262,688385.SH,20230817,49.7,51.5,48.8,51.31,49.81,1.5,3.0114,44379.66,223205.638
263,688385.SH,20230816,50.89,50.89,49.7,49.81,50.69,-0.88,-1.736,22073.84,110451.493
